Market,Year,Revenue (Million USD)
Package Holidays,2017,198.1
Vacation Rentals,2017,96.39
Hotels,2017,248.9
Camping,2017,253.4
Cruises,2017,4.07
Travel & Tourism,2017,547.7
Travel & Tourism,2017,0.25
Travel & Tourism,2017,4.07
Travel & Tourism,2017,248.9
Travel & Tourism,2017,198.1
Travel & Tourism,2017,96.39
Package Holidays,2018,214.9
Vacation Rentals,2018,105.0
Hotels,2018,288.0
Camping,2018,328.7
Cruises,2018,4.84
Travel & Tourism,2018,613.1
Travel & Tourism,2018,0.33
Travel & Tourism,2018,4.84
Travel & Tourism,2018,288.0
Travel & Tourism,2018,214.9
Travel & Tourism,2018,105.0
Package Holidays,2019,232.4
Vacation Rentals,2019,114.0
Hotels,2019,330.0
Camping,2019,367.4
Cruises,2019,5.65
Travel & Tourism,2019,682.4
Travel & Tourism,2019,0.37
Travel & Tourism,2019,5.65
Travel & Tourism,2019,330.0
Travel & Tourism,2019,232.4
Travel & Tourism,2019,114.0
Package Holidays,2020,93.78
Vacation Rentals,2020,58.43
Hotels,2020,93.31
Camping,2020,171.5
Cruises,2020,1.33
Travel & Tourism,2020,247.0
Travel & Tourism,2020,0.17
Travel & Tourism,2020,1.33
Travel & Tourism,2020,93.31
Travel & Tourism,2020,93.78
Travel & Tourism,2020,58.43
Package Holidays,2021,175.5
Vacation Rentals,2021,59.35
Hotels,2021,178.5
Camping,2021,198.6
Cruises,2021,1.43
Travel & Tourism,2021,415.0
Travel & Tourism,2021,0.2
Travel & Tourism,2021,1.43
Travel & Tourism,2021,178.5
Travel & Tourism,2021,175.5
Travel & Tourism,2021,59.35
Package Holidays,2022,236.7
Vacation Rentals,2022,128.8
Hotels,2022,388.2
Camping,2022,252.9
Cruises,2022,4.18
Travel & Tourism,2022,758.1
Travel & Tourism,2022,0.25
Travel & Tourism,2022,4.18
Travel & Tourism,2022,388.2
Travel & Tourism,2022,236.7
Travel & Tourism,2022,128.8
Package Holidays,2023,310.6
Vacation Rentals,2023,151.7
Hotels,2023,521.0
Camping,2023,267.8
Cruises,2023,7.4
Travel & Tourism,2023,991.0
Travel & Tourism,2023,0.27
Travel & Tourism,2023,7.4
Travel & Tourism,2023,521.0
Travel & Tourism,2023,310.6
Travel & Tourism,2023,151.7
